Komoditas,Tahun,Bulan,Harga
Daging Ayam Ras,2025,Februari,35981
Telur Ayam Ras,2025,Februari,29440
Gula Pasir Lokal/Curah,2025,Februari,18331
Tepung Terigu Curah,2025,Februari,9789
Tepung Terigu Kemasan,2025,Februari,12900
Minyak Goreng Kemasan,2025,Februari,20426
Minyak Goreng Curah,2025,Februari,17849
Jagung Tk. Peternak,2025,Februari,6357
Ikan Kembung,2025,Februari,39978
Ikan Tongkol,2025,Februari,33088
Ikan Bandeng,2025,Februari,33656
Garam konsumsi,2025,Februari,11682
Cabai Merah Besar,2025,Februari,53268
Minyak Kita,2025,Februari,17644
Daging Kerbau Beku (Impor),2025,Februari,106836
Daging Kerbau Segar (Lokal),2025,Februari,144686
Beras SPHP,2025,Maret,12652
Beras Premium,2025,Maret,15545
Beras Medium,2025,Maret,13696
Kedelai Biji Kering,2025,Maret,10610
Bawang Merah,2025,Maret,41458
Bawang Putih (Bonggol),2025,Maret,43839
Cabai Merah Keriting,2025,Maret,52791
Cabai Rawit Merah,2025,Maret,85030
Daging Sapi Murni,2025,Maret,136146
Daging Ayam Ras,2025,Maret,36400
Telur Ayam Ras,2025,Maret,29665
Gula Pasir Lokal/Curah,2025,Maret,18513
Tepung Terigu Curah,2025,Maret,9807
Tepung Terigu Kemasan,2025,Maret,12938
Minyak Goreng Kemasan,2025,Maret,20621
Minyak Goreng Curah,2025,Maret,17942
Jagung Tk. Peternak,2025,Maret,6193
Ikan Kembung,2025,Maret,40827
Ikan Tongkol,2025,Maret,33789
Ikan Bandeng,2025,Maret,34097
Garam konsumsi,2025,Maret,11669
Cabai Merah Besar,2025,Maret,54278
Minyak Kita,2025,Maret,17647
Daging Kerbau Beku (Impor),2025,Maret,106303
Daging Kerbau Segar (Lokal),2025,Maret,142245
Beras SPHP,2025,April,12612
Beras Premium,2025,April,15563
Beras Medium,2025,April,13715
Kedelai Biji Kering,2025,April,10715
Bawang Merah,2025,April,44516
Bawang Putih (Bonggol),2025,April,44750
Cabai Merah Keriting,2025,April,58560
Cabai Rawit Merah,2025,April,77710
Daging Sapi Murni,2025,April,136153
Daging Ayam Ras,2025,April,35420
Telur Ayam Ras,2025,April,29149
Gula Pasir Lokal/Curah,2025,April,18547
Tepung Terigu Curah,2025,April,9814
Tepung Terigu Kemasan,2025,April,12949
Minyak Goreng Kemasan,2025,April,20694
Minyak Goreng Curah,2025,April,17929
Jagung Tk. Peternak,2025,April,6174
Ikan Kembung,2025,April,41368
Ikan Tongkol,2025,April,34527
Ikan Bandeng,2025,April,34577
Garam konsumsi,2025,April,11669
Cabai Merah Besar,2025,April,52621
Minyak Kita,2025,April,17631
Daging Kerbau Beku (Impor),2025,April,107514
Daging Kerbau Segar (Lokal),2025,April,141664
Beras SPHP,2025,Mei,12642
Beras Premium,2025,Mei,15595
Beras Medium,2025,Mei,13762
Kedelai Biji Kering,2025,Mei,10821
Bawang Merah,2025,Mei,39639
Bawang Putih (Bonggol),2025,Mei,42519
Cabai Merah Keriting,2025,Mei,49512
Cabai Rawit Merah,2025,Mei,52738
Daging Sapi Murni,2025,Mei,135461
Daging Ayam Ras,2025,Mei,34814
Telur Ayam Ras,2025,Mei,29108
Gula Pasir Lokal/Curah,2025,Mei,18547
Tepung Terigu Curah,2025,Mei,9811
Tepung Terigu Kemasan,2025,Mei,12974
Minyak Goreng Kemasan,2025,Mei,20798
Minyak Goreng Curah,2025,Mei,17823
Jagung Tk. Peternak,2025,Mei,6207
Ikan Kembung,2025,Mei,40823
Ikan Tongkol,2025,Mei,33869
Ikan Bandeng,2025,Mei,34216
Garam konsumsi,2025,Mei,11626
Cabai Merah Besar,2025,Mei,45031
Minyak Kita,2025,Mei,17608
Daging Kerbau Beku (Impor),2025,Mei,107279
Daging Kerbau Segar (Lokal),2025,Mei,140677
